machine_temperature,hydraulic_pressure,vibration_intensity,failure_risk
0.5488135039273248,0.5928802707811576,0.8115184706218832,0.9627759996232043
0.7151893663724195,0.01006369565609333,0.476083985968232,0.6396819983626865
0.6027633760716439,0.47582619585722274,0.5231559899920758,1.254410459885504
0.5448831829968969,0.7087703909410487,0.25052058641717856,1.102078380700668
0.4236547993389047,0.0439754320240906,0.6050430168104723,0.8603881457381543
0.6458941130666561,0.8795214830237301,0.30290480866983505,0.468981897263253
0.4375872112626925,0.5200814166356731,0.5772840145429821,1.265976763766278
0.8917730007820798,0.03066104832571792,0.16967811557406987,0.08929010720949004
0.9636627605010293,0.2244136119208402,0.1594690923411588,0.3596397738917274
0.3834415188257777,0.953675696427313,0.41702974119199354,1.006368238891767
0.7917250380826646,0.5823197330520553,0.42681951511054084,0.5415120405574452
0.5288949197529045,0.10747256776880454,0.26810926491253906,0.7108201628250046
0.5680445610939323,0.2875445022805615,0.13159685036669,0.4395625417302538
0.925596638292661,0.4567036258604842,0.039210539213897055,0.46867712436854536
0.07103605819788694,0.020950069267730465,0.025231827287816144,0.3361015727132085
0.08712929970154071,0.4116155136137588,0.2715502900064757,0.15730286756644518
0.02021839744032572,0.48945863543469814,0.46185344216193713,0.5209771503622866
0.832619845547938,0.2436778752812322,0.726243281306127,1.2072773196761197
0.7781567509498505,0.5886390002919866,0.47487170071400897,1.0866550488741362
0.8700121482468192,0.7532401195921768,0.9040508194352818,1.0532719912093023
0.978618342232764,0.23583422410563548,0.03521980457540708,0.9913696386994262
0.7991585642167236,0.6204999002799877,0.18066062154063434,0.5698978734928617
0.46147936225293185,0.6396222429637416,0.33851449277014267,1.0360322266389863
0.7805291762864555,0.948540301128841,0.5774961880651225,1.2116089929875669
0.11827442586893322,0.7782761672964438,0.8527361578939424,1.0711852739077847
0.6399210213275238,0.848345269790006,0.35020195195657644,1.2648046464514136
0.1433532874090464,0.49041990843627514,0.2679886825044201,0.2913573437590776
0.9446689170495839,0.18534858697938283,0.06188916884289575,0.1475750435723182
0.5218483217500717,0.995815292959635,0.8213034776981041,1.3314906495489014
0.4146619399905236,0.1293557610386996,0.37966644320667897,1.0342989743355226
0.26455561210462697,0.4714573193542654,0.5715501954169343,0.7575292160275264
0.7742336894342167,0.0680930992421066,0.9835554181712204,0.7588543730758817
0.45615033221654855,0.9438508573508195,0.0015945706042945762,0.07138285078271278
0.5684339488686485,0.9649249408484396,0.14545014069886597,0.36525453855533785
0.018789800436355142,0.7193890620039736,0.7791109940193555,0.16816599509307628
0.6176354970758771,0.3499928436301689,0.8051274852078378,0.9511534271802029
0.6120957227224214,0.25438240111762433,0.7692471190327554,0.4519222948837315
