time,User_invites,User_signups,period
0,-0.8748827365273487,-1.2607266378055455,1
1,0.20275096074187937,-0.4336140129385596,1
2,0.6393084208111354,0.9022878812208129,1
3,-0.032109704942180614,-0.20278468006779957,1
4,0.61599362703992,1.838912880268519,1
5,0.41354388573742196,-0.08948399257026907,1
6,0.2979711491964248,1.390219133691229,1
7,-0.3168784238876041,-1.167078630920156,1
8,0.15394197175326713,1.8024723275269676,1
9,0.4064918281759201,2.2546519454837064,1
10,0.08000350162363526,0.12271847974997531,1
11,0.5563196643067374,-0.026291604906640176,1
12,0.07632702752334553,2.066920604285561,1
13,0.8055714264776701,-0.25370127989227453,1
14,0.7621396944199031,-0.21693075154937258,1
15,0.4017849280442329,3.0092128344357714,1
16,0.21611348567576044,-0.47747865884160823,1
17,1.0239077583170444,1.4786029910271807,1
18,0.316758983626788,-0.027090791609507336,1
19,0.0029242547244124895,-0.5248242459896123,1
20,1.397276082630103,2.376776571470808,1
21,1.3837096409096798,1.7350113798021523,1
22,0.5114844201420832,0.5219732527215052,1
23,0.24009399619800303,-0.5224473204797666,1
24,0.77680645121066,2.9320255819101932,1
25,1.1756478817410236,0.6203047471995663,1
26,1.094468799338816,2.5853974870758547,1
27,1.430889132203125,1.840473668059146,1
28,0.6073942131746379,0.5841532903648048,1
29,0.8179930198030788,1.044991550887043,1
30,0.9202167986525998,1.1353081104298302,1
31,0.1054720766618934,-1.6125327808576784,1
32,0.46615177270479735,0.6458761837835936,1
33,1.2689690325135865,1.0317168699006054,1
34,1.2515290608109528,-1.1725200755745455,1
35,0.6630330604543667,1.4399990349778504,1
36,1.4996381864805823,1.6545122628028013,1
37,0.07244621249217909,0.8986265068692756,1
38,0.251576961457595,0.05708003452132962,1
39,0.32466351199676236,-0.30675452751427223,1
40,0.6788369354589214,1.2637031567951753,1
41,0.6262078172702291,-0.07163848027073205,1
42,0.9722404427430826,0.764192934322193,1
43,0.669447394199666,2.189120639494106,1
44,1.6321612881063432,2.5431142888348175,1
45,0.12114052876849724,-0.10278118114149137,1
46,0.5004596517496628,0.9290294199138713,1
47,1.1743158411867627,2.55225243486569,1
48,0.19123747701718363,0.9453222721644611,1
49,1.7348634936717962,3.432637557423229,1
50,0.4059912013411403,0.31373334798776387,1
51,0.7246334635979867,0.9014838222076105,1
52,0.5280036476558875,-0.22676609909805545,1
53,0.5815957824201445,2.1157938787613215,1
54,1.0465464352313176,1.0394941307625052,1
55,1.2415931358412977,0.4744224058928945,1
56,0.5511735774734489,-0.06456701945767296,1
57,1.600651633302237,3.1484874532033924,1
58,0.9287775381699314,-0.011952417227966583,1
59,0.5154279450444261,0.01681103618560431,1
60,0.5101573215536449,0.879053606673327,1
61,0.9502002436982555,0.11216960994453529,1
62,1.0486987968500623,2.878906954965684,1
63,0.9245288999982874,1.1884603989664875,1
64,0.08706235277560848,-0.46509882384888773,1
65,0.3689015853337094,0.29438894500567353,1
66,1.1828261208876367,1.2689032845975021,1
67,1.2288446336658556,0.5866524256343807,1
68,1.3577886452019103,1.9160973214942927,1
69,0.1109852687450984,0.4191552650123548,1
70,-0.11157715571841109,0.1735376650025611,1
71,0.9732016254593421,0.5103228101002532,1
72,0.6046246752493849,0.6003647732165605,1
73,0.405502080585583,-0.41756271254065525,1
74,1.746272408173878,2.175236898896967,1
75,0.43174957522925117,1.0073332551086809,1
76,1.0597737710921094,-0.9961483957808268,1
77,0.00781569578324226,-1.4270131938389168,1
78,0.927710657645827,1.705592210385962,1
79,0.060645507321829495,-0.05240783016255059,1
80,0.932845987404827,0.5821960340432729,1
81,0.9055284109213332,0.21667743857791222,1
82,-0.24751696981019855,-0.08716087918955973,1
83,0.9615284764837118,0.5023905875812392,1
84,0.8711648737632489,1.809812945557555,1
85,0.6681069350379172,-0.25777140910921126,1
86,0.4802152865140301,0.3462225372652099,1
