took_interactive_course,prior_language_experience,baseline_proficiency,motivation_level,weekly_practice_hours,final_proficiency,unrelated_random_variable
0,-1.2492783503991578,41.475828215490026,2.284859223410259,8.15666190126528,66.79138876299082,0.835967327753615
1,-0.2603314136513827,32.165012799936235,3.3505014674090585,10.884476418431912,63.35067966968976,0.4983399662830628
0,0.3837933001329509,41.676779733468386,2.4104237247631417,10.978130150123013,77.0947207846721,0.42913977948598536
0,-0.3854614735700943,38.35542967900323,3.103142042635404,11.191585422651917,74.9994749708896,-1.144532319289372
0,-1.0851367294787269,25.67008503844749,2.9121449802026786,8.552394973938902,57.61603595210466,-0.44789537369774013
0,2.3272190172933405,42.17733960677882,2.0083473171291315,11.88389378110733,77.69778070526992,-0.7796434362788629
0,0.4307929531979367,41.286878464534965,3.503639093497677,11.666253060497397,81.89048627633595,0.3077055127653379
0,0.43231577222838663,43.9616265422928,4.824530451005701,12.915684421888093,88.86923565146128,0.478734339393544
1,-0.9800113497351245,36.19719894742414,3.214891272509791,12.177074786258599,73.86618386444256,-1.0552391684451248
0,-0.6319651900357595,30.118615159017114,2.9427529619826043,10.338112960893794,63.036045808818116,-0.8283170212704287
1,0.5774420702906377,40.44943675253302,2.1595492426686764,10.656466285906966,76.78540359320158,0.9539765297894336
1,-0.12475771542654064,42.678507003332086,4.585985860077368,12.182369220045993,92.59671292166547,0.5417540034911581
0,0.9789478639749327,45.85156890018856,1.7849986114011172,11.393300219065862,80.52744602174474,1.0194922892347502
0,1.5949215410410449,45.31091619239226,4.211209811298631,14.749578467832881,95.75372356735623,0.07270074909491124
0,-1.2019445182726716,41.26063459795385,4.229986559966621,10.468110186217691,80.35177855781964,0.7986095237653158
0,-1.376368847447206,33.729733239049054,4.560701723237623,10.427205213028893,67.5429411436517,0.5229546063063037
1,1.0543455109422497,40.03109627914389,3.41893582188298,12.395106438308137,84.33720192354131,-1.6604810396058471
1,-0.03885348332886611,38.00229352700334,2.021029750842113,11.121465174812172,72.12473299223092,-0.003566823244213838
0,0.6802856708830325,40.42735372685263,4.089096050070174,13.506243680062115,83.69552873050228,1.763766182735198
1,1.3291749002498454,49.82228699837422,3.2506461308514902,14.19654410738776,97.74626272279174,0.853362578904634
1,1.2834495234241148,49.971631906870236,3.62510835813255,16.338347684277185,98.58255517651851,0.39953390836298397
0,-1.7582536696290774,39.61699807203802,4.274339420848059,10.315111634332641,79.06382913238158,-0.24014487849335692
0,0.6143059041817154,48.740964273554894,2.0756631554645093,11.425712113238253,86.27347520939475,0.008012229630372415
1,1.5163580793191207,40.50978040354551,3.8101848856332814,14.96372362592063,83.68714805793341,0.4374788575615115
1,-0.19597741054081386,40.28391060371629,4.006447186017214,13.36742835158972,86.05273333220956,0.16629402403014057
0,-0.817206276205444,36.24432359806985,3.3488678789442696,9.610270552011425,68.37171700721221,-0.5802825973132142
1,-0.9461277071686655,33.74646343241165,2.2683784826862605,9.053883176151887,65.26533259950001,-0.5698054592752743
0,0.22063890992108437,38.49396670619006,3.080916329900375,11.238593136720818,77.39522680043356,-0.8671337939404431
0,-0.6007335133297844,34.42179362337305,2.8412470819489157,9.639043542330423,66.51286657801607,0.8455759716046765
0,-0.15256604991807043,31.685241050187454,3.8476265879875546,11.89547691789352,77.37273572916429,-1.7949278021152955
1,-1.1874431095147182,31.73090724916773,2.801749293628378,10.731451990629877,60.86399220944935,0.41180216753052656
0,0.29913820855376116,42.42403727135462,4.777908877779536,10.370339682700966,81.98005643655046,-0.44611636126156473
1,-0.9477641680157968,39.49366020784056,2.350245217505191,11.085546698678888,73.90622384924818,-0.38951774058926886
1,-1.8433819376279355,29.384220392292118,3.365255626003259,8.798893571921884,56.682637012206364,0.16109412693158293
1,0.8105891864240151,40.00256869107557,2.5872016363027175,13.032249086715263,79.55412424926955,1.1027381928345394
0,-0.7522565820374734,32.366072093243524,3.2602482758053712,10.093814537666585,65.39460121671468,-0.5012644581680072
1,-0.436469012800568,33.63657601674401,3.740953825493669,9.724405106038335,64.5794487781009,1.7991042636928298
1,0.047276638251551234,41.550291754892186,2.4181258025311867,12.963069564306778,90.05751242477511,0.5609941440958475
0,-0.25082763659943846,40.285811035633756,4.350474613024352,11.899491696573618,81.69962320691836,1.0250881785990027
0,0.16708738870458573,41.956232188078474,2.840226781804258,10.137971638600725,78.42358901979621,0.3070217431086629
0,0.6656461983220842,55.47432873343464,2.8291653062681217,11.520943657015938,95.75669382564374,-0.2833005993513753
0,1.6971649981589274,39.906562614850976,3.024673147302551,13.903898651554433,87.83160668108744,-0.22082729212978278
0,1.0536845841414466,45.14354851187813,3.721820445442395,12.738205269950269,87.14001308334205,-0.9859382234106226
0,0.29261981814980526,38.747030835331095,3.5083484136029583,12.187097345404961,80.78723184198387,1.390009185928645
