educational_intervention,coping_strategy_improvement,social_support_enhancement,mental_health_score,socioeconomic_status,school_quality_score,baseline_cognitive_score,random_noise
0,3.2985226155737712,4.447086730881025,140.70315775039478,0.4967141530112327,82.67842341421643,118.96069589597235,0.6820694900626313
1,4.974325871915905,8.695737797168503,142.48262754475311,-0.13826430117118466,81.53155215251104,107.86369381741584,0.12617790366196718
0,3.6459839874530613,7.47270091938393,138.47154226821502,0.6476885381006925,74.58723800952897,107.07318908020866,-0.22247489677826537
0,6.857980173552238,9.413175189963557,163.34138708159583,1.5230298564080254,89.43611579802648,108.76093078702452,2.046862195719558
0,7.255833245950342,11.372456380284575,153.8087222554527,-0.23415337472333597,70.524202725726,104.64069938890255,-0.6749340187905523
0,8.030190461798433,13.164678377778595,162.33035317392282,-0.23413695694918055,71.17840280934777,101.59348428472569,-0.4030759890650308
1,8.973090696100456,12.010261475580947,182.78760596301194,1.5792128155073915,85.26412682710365,124.74406035535124,1.991553302204734
1,7.895811613003881,10.557687914963996,171.34118138783188,0.7674347291529088,77.683514754504,114.02606530834878,-0.8320613048498566
1,3.327312985588413,6.779232149950823,139.32504416976838,-0.4694743859349521,71.43829142429969,105.80078329384384,-0.5501152829365389
1,6.106448526230885,9.724812626260823,156.01925758509668,0.5425600435859647,76.01667988304357,100.07324832025397,-0.14702542343084998
0,3.3889114175937043,6.2967563849936425,135.4839263080095,-0.46341769281246226,72.37448576061965,108.53976372821865,0.8407344821295493
0,3.5856461564698026,6.278617570659231,128.81984844687608,-0.46572975357025687,71.0732095336414,97.31869851122143,0.2078025073533134
0,4.956354101621546,8.337441162842644,162.221212238604,0.24196227156603412,75.97990598506264,123.172231441913,-1.2926253471522626
0,2.1951080979766995,1.885723041269841,89.75306995605011,-1.913280244657798,56.06350339457122,73.97531937252634,-0.5321685631271895
0,0.17935068238209206,2.409543150547732,103.31892913312144,-1.7249178325130328,58.89357201762241,100.11045970652216,-0.6073544332122114
0,5.669194700482629,9.725397866871997,143.0919476945007,-0.5622875292409727,73.52326466937525,96.35623254221674,-0.07722104522304557
1,3.9379444686690785,5.743848909354049,109.82683075219502,-1.0128311203344238,68.90101978782214,83.35750876051128,0.4258436586298291
1,7.022993736246136,10.332543810016364,148.11037547899758,0.3142473325952739,73.60375768156798,98.30361498540952,0.4182057558879721
1,8.700832616462002,9.94965809892693,138.84781262332834,-0.9080240755212109,68.13313661754721,87.71628616284468,-1.7760117540484022
1,3.8005952769978535,6.27166818895118,119.43889662352966,-1.4123037013352915,66.70711888280482,90.11862245066625,1.063940987560856
1,3.932425615201071,7.938204052759035,157.36954608986917,1.465648768921554,80.04756902688695,119.88484256957054,0.2525688459966235
0,4.427639471464357,6.925649995114788,125.51891215440644,-0.22577630048653566,75.36723036562746,92.00523695574886,1.3845320475939062
1,8.114298419848202,12.920146238006408,168.22220587484907,0.06752820468792384,72.88973060172,100.4317361242694,0.4441983272906719
1,8.07557381836807,10.377421811759028,161.84040798396677,-1.4247481862134568,65.88440918466499,107.17522172398407,1.1013229577357622
0,2.4782837642588853,5.179276265920391,138.3786134579116,-0.5443827245251827,67.59190157762848,111.8316044557553,0.46654531145012695
0,5.5694087402525225,7.315154576727421,139.6193473764729,0.11092258970986608,68.66785231502085,105.47246259383898,1.3462257562027482
1,4.367614075797865,6.437377521197201,114.3967444794035,-1.1509935774223028,59.28188162908892,88.87009900745898,0.5222506360177785
